id,title,artist,rights,genre,Department,tags,notes
44610,"一の谷合戦図屏風|The Battle at Ichinotani, from The Tale of the Heike (Heike monogatari)",Unknown,CC0-1.0,Paintings,Asian Art,,"Screen; Japan; Edo period (1615–1868); One of a pair of six-panel folding screens; ink, color, gold, and gold leaf on paper; 68 3/4 in. × 11 ft. 1 1/4 in. (174.6 × 338.5 cm); 17th century; Asian Art; 一の谷合戦図屏風|The Battle at Ichinotani, from The Tale of the Heike (Heike monogatari) is a Edo period (1615–1868) Screen by the Japan artist.This piece, part of the Asian Art collection, is crafted using One of a pair of six-panel folding screens; ink, color, gold, and gold leaf on paper. Measuring 68 3/4 in. × 11 ft. 1 1/4 in. (174.6 × 338.5 cm), the work is classified as Paintings and was created in 17th century."
75011,Unknown,Unknown,CC0-1.0,Paintings,Asian Art,,"Folio; India (Gujarat); Unknown; Ink, opaque watercolor, and gold on paper; 4 3/8 x 10 5/8 in. (11.1 x 27 cm); 15th century; Asian Art; Unknown is a Unknown Folio by the India (Gujarat) artist.This piece, part of the Asian Art collection, is crafted using Ink, opaque watercolor, and gold on paper. Measuring 4 3/8 x 10 5/8 in. (11.1 x 27 cm), the work is classified as Paintings and was created in 15th century."
75053,Unknown,Unknown,CC0-1.0,Paintings,Asian Art,,"Folio; India (Gujarat); Unknown; Ink, opaque watercolor, and gold on paper; 4 3/8 x 10 5/8 in. (11.1 x 27 cm); 15th century; Asian Art; Unknown is a Unknown Folio by the India (Gujarat) artist.This piece, part of the Asian Art collection, is crafted using Ink, opaque watercolor, and gold on paper. Measuring 4 3/8 x 10 5/8 in. (11.1 x 27 cm), the work is classified as Paintings and was created in 15th century."
49471,清  任預  石室參禪圖  軸|Meditation in a Cave,Ren Yu,CC0-1.0,Paintings,Asian Art,,"Hanging scroll; China; Qing dynasty (1644–1911); Hanging scroll; ink and color on paper; 44 7/8 x 15 3/8 in. (114.0 x 39.1 cm); Unknown; Asian Art; 清  任預  石室參禪圖  軸|Meditation in a Cave is a Qing dynasty (1644–1911) Hanging scroll by the China artist Ren Yu. This piece, part of the Asian Art collection, is crafted using Hanging scroll; ink and color on paper. Measuring 44 7/8 x 15 3/8 in. (114.0 x 39.1 cm), the work is classified as Paintings ."
51866,Unknown,Unidentified artist,CC0-1.0,Paintings,Asian Art,,"Album leaf; China; Qing dynasty (1644–1911); Leaf from an album; ink on paper; H. 9 11/16 in. (24.6 cm); W. 12 in. (30.5 cm); 20th century; Asian Art; Unknown is a Qing dynasty (1644–1911) Album leaf by the China artist Unidentified artist. This piece, part of the Asian Art collection, is crafted using Leaf from an album; ink on paper. Measuring H. 9 11/16 in. (24.6 cm); W. 12 in. (30.5 cm), the work is classified as Paintings and was created in 20th century."
75041,Unknown,Unknown,CC0-1.0,Paintings,Asian Art,,"Folio; India (Gujarat); Unknown; Ink, opaque watercolor, and gold on paper; 4 3/8 x 10 5/8 in. (11.1 x 27 cm); 15th century; Asian Art; Unknown is a Unknown Folio by the India (Gujarat) artist.This piece, part of the Asian Art collection, is crafted using Ink, opaque watercolor, and gold on paper. Measuring 4 3/8 x 10 5/8 in. (11.1 x 27 cm), the work is classified as Paintings and was created in 15th century."
57240,Unknown,Hokusai School,CC0-1.0,Paintings,Asian Art,,"Painting; Japan; Edo period (1615–1868); Unmounted painting; ink and watercolor on paper; 11 x 16 in. (27.9 x 40.6 cm); 19th century; Asian Art; Unknown is a Edo period (1615–1868) Painting by the Japan artist Hokusai School. This piece, part of the Asian Art collection, is crafted using Unmounted painting; ink and watercolor on paper. Measuring 11 x 16 in. (27.9 x 40.6 cm), the work is classified as Paintings and was created in 19th century."
853223,白雲紅樹 (Hakuun kōju)|White Clouds and Crimson Trees,Tanomura Chokunyū 田能村直入,CC0-1.0,Paintings,Asian Art,,"Hanging scroll; Japan; Meiji period (1868–1912); Hanging scroll; ink and color on silk; Image: 58 3/8 × 20 in. (148.3 × 50.8 cm)
Overall with mounting: 91 × 25 7/8 in. (231.1 × 65.7 cm)
Overall with knobs: 91 × 28 1/2 in. (231.1 × 72.4 cm); 1888; Asian Art; 白雲紅樹 (Hakuun kōju)|White Clouds and Crimson Trees is a Meiji period (1868–1912) Hanging scroll by the Japan artist Tanomura Chokunyū 田能村直入. This piece, part of the Asian Art collection, is crafted using Hanging scroll; ink and color on silk. Measuring Image: 58 3/8 × 20 in. (148.3 × 50.8 cm)
Overall with mounting: 91 × 25 7/8 in. (231.1 × 65.7 cm)
Overall with knobs: 91 × 28 1/2 in. (231.1 × 72.4 cm), the work is classified as Paintings and was created in 1888."
40430,Unknown,Unidentified artist,CC0-1.0,Paintings,Asian Art,,"Album leaf; Korea; Joseon dynasty (1392–1910); Album leaf; ink and color on paper; 20 7/8 x 10 15/16 in. (53 x 27.8 cm); 19th century; Asian Art; Unknown is a Joseon dynasty (1392–1910) Album leaf by the Korea artist Unidentified artist. This piece, part of the Asian Art collection, is crafted using Album leaf; ink and color on paper. Measuring 20 7/8 x 10 15/16 in. (53 x 27.8 cm), the work is classified as Paintings and was created in 19th century."
51307,Unknown,Wu Zhen|Unidentified artist,CC0-1.0,Paintings,Asian Art,,"Handscroll; China; Ming dynasty (1368–1644) (?); Handscroll; ink on silk; 13 1/2 in. × 17 ft. 3 3/4 in. (34.3 × 527.7 cm); Unknown; Asian Art; Unknown is a Ming dynasty (1368–1644) (?) Handscroll by the China artist Wu Zhen|Unidentified artist. This piece, part of the Asian Art collection, is crafted using Handscroll; ink on silk. Measuring 13 1/2 in. × 17 ft. 3 3/4 in. (34.3 × 527.7 cm), the work is classified as Paintings ."
45770,Unknown,Kawamata Tsunemasa,CC0-1.0,Paintings,Asian Art,,"Hanging scroll; Japan; Edo period (1615–1868); Hanging scroll; ink, color, and gold on silk; 33 3/4 x 10 5/8 in. (85.7 x 27 cm); first half of the 18th century; Asian Art; Unknown is a Edo period (1615–1868) Hanging scroll by the Japan artist Kawamata Tsunemasa. This piece, part of the Asian Art collection, is crafted using Hanging scroll; ink, color, and gold on silk. Measuring 33 3/4 x 10 5/8 in. (85.7 x 27 cm), the work is classified as Paintings and was created in first half of the 18th century."
37973,Unknown,Unknown,CC0-1.0,Paintings,Asian Art,,"Folio; India (Rajasthan, Mewar); Unknown; Ink, opaque watercolor, and gold on paper; 9 7/16 x 10 7/8 in. (24 x 27.6 cm); ca. 1715–20; Asian Art; Unknown is a Unknown Folio by the India (Rajasthan, Mewar) artist.This piece, part of the Asian Art collection, is crafted using Ink, opaque watercolor, and gold on paper. Measuring 9 7/16 x 10 7/8 in. (24 x 27.6 cm), the work is classified as Paintings and was created in ca. 1715–20."
37818,Unknown,Unknown,CC0-1.0,Paintings,Asian Art,,"Hanging scroll; Tibet; Unknown; Hanging scroll; color and gold on cloth; Image: 9 3/8 × 6 1/2 in. (23.8 × 16.5 cm)
Overall with mounting: 20 3/4 × 11 in. (52.7 × 27.9 cm); 17th century; Asian Art; Unknown is a Unknown Hanging scroll by the Tibet artist.This piece, part of the Asian Art collection, is crafted using Hanging scroll; color and gold on cloth. Measuring Image: 9 3/8 × 6 1/2 in. (23.8 × 16.5 cm)
Overall with mounting: 20 3/4 × 11 in. (52.7 × 27.9 cm), the work is classified as Paintings and was created in 17th century."
671048,Unknown,Hine Taizan,CC0-1.0,Paintings,Asian Art,,"Hanging scroll; Japan; Edo period (1615–1868); Hanging scroll; ink and color on silk; Image: 53 15/16 × 20 3/16 in. (137 × 51.3 cm)
Overall with mounting: 88 × 26 11/16 in. (223.5 × 67.8 cm)
Overall with knobs: 88 × 30 1/2 in. (223.5 × 77.5 cm); 1859; Asian Art; Unknown is a Edo period (1615–1868) Hanging scroll by the Japan artist Hine Taizan. This piece, part of the Asian Art collection, is crafted using Hanging scroll; ink and color on silk. Measuring Image: 53 15/16 × 20 3/16 in. (137 × 51.3 cm)
Overall with mounting: 88 × 26 11/16 in. (223.5 × 67.8 cm)
Overall with knobs: 88 × 30 1/2 in. (223.5 × 77.5 cm), the work is classified as Paintings and was created in 1859."
45800,Unknown,Kubo Shunman,CC0-1.0,Paintings,Asian Art,,"Painting; Japan; Edo period (1615–1868); Ink and color on silk; 29 7/8 x 11 11/16 in. (75.9 x 29.7 cm); dated 1780; Asian Art; Unknown is a Edo period (1615–1868) Painting by the Japan artist Kubo Shunman. This piece, part of the Asian Art collection, is crafted using Ink and color on silk. Measuring 29 7/8 x 11 11/16 in. (75.9 x 29.7 cm), the work is classified as Paintings and was created in dated 1780."
53446,勝川春章筆　立姿美人図|Woman in a Black Kimono,Katsukawa Shunshō 勝川春章,CC0-1.0,Paintings,Asian Art,,"Hanging scroll; Japan; Edo period (1615–1868); Hanging scroll; ink, color, and gold on silk; Image: 33 1/2 × 11 1/4 in. (85.1 × 28.6 cm)
Overall with mounting: 67 11/16 × 15 7/8 in. (172 × 40.4 cm)
Overall with knobs: 67 11/16 × 17 13/16 in. (172 × 45.2 cm); 1783–89; Asian Art; 勝川春章筆　立姿美人図|Woman in a Black Kimono is a Edo period (1615–1868) Hanging scroll by the Japan artist Katsukawa Shunshō 勝川春章. This piece, part of the Asian Art collection, is crafted using Hanging scroll; ink, color, and gold on silk. Measuring Image: 33 1/2 × 11 1/4 in. (85.1 × 28.6 cm)
Overall with mounting: 67 11/16 × 15 7/8 in. (172 × 40.4 cm)
Overall with knobs: 67 11/16 × 17 13/16 in. (172 × 45.2 cm), the work is classified as Paintings and was created in 1783–89."
42616,Unknown,Suzuki Kiitsu|Ogata Kōrin,CC0-1.0,Paintings,Asian Art,,"Hanging scroll; Japan; Edo period (1615–1868); Hanging scroll; ink, color and gold pigment on paper; Image (drawing): 11 3/8 × 15 in. (28.9 × 38.1 cm)
Image (painting): 31 × 18 3/8 in. (78.7 × 46.7 cm); early 18th century (drawing); early 19th century (painting); Asian Art; Unknown is a Edo period (1615–1868) Hanging scroll by the Japan artist Suzuki Kiitsu|Ogata Kōrin. This piece, part of the Asian Art collection, is crafted using Hanging scroll; ink, color and gold pigment on paper. Measuring Image (drawing): 11 3/8 × 15 in. (28.9 × 38.1 cm)
Image (painting): 31 × 18 3/8 in. (78.7 × 46.7 cm), the work is classified as Paintings and was created in early 18th century (drawing); early 19th century (painting)."
57308,Unknown,Hokusai School,CC0-1.0,Paintings,Asian Art,,"Painting; Japan; Edo period (1615–1868); Unmounted painting; ink and watercolor on paper; 13 1/4 x 9 5/8 in. (33.7 x 24.4 cm); 19th century; Asian Art; Unknown is a Edo period (1615–1868) Painting by the Japan artist Hokusai School. This piece, part of the Asian Art collection, is crafted using Unmounted painting; ink and watercolor on paper. Measuring 13 1/4 x 9 5/8 in. (33.7 x 24.4 cm), the work is classified as Paintings and was created in 19th century."
